Подразделение БР,Код вида расходов,Наименование вида расходов,Направление расходов,Вид объекта,Дата проведения (день),Дата проведения (месяц),Дата проведения (год),Конечный остаток
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42",Здание,7,8,2019,143.74
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42",Здание,16,10,2019,142.03
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42",Здание,8,11,2019,165.99
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42",Здание,10,12,2019,164.28
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,17,1,2019,2587.7
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,19,2,2019,35456.1
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,19,3,2019,33791.67
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,17,4,2019,35570.78
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,20,5,2019,28043.95
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,18,6,2019,24419.62
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,17,7,2019,25573.74
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,20,8,2019,31786.98
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,17,10,2019,20163.69
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,19,11,2019,22804.32
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,17,12,2019,31283.91
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 21",Здание,17,1,2019,592.12
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 21",Здание,19,2,2019,32876.24
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 21",Здание,19,3,2019,45649.24
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 21",Здание,17,4,2019,38258.04
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 21",Здание,20,5,2019,34482.02
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 21",Здание,18,6,2019,49264.97
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 21",Здание,17,7,2019,37180.7
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 21",Здание,20,8,2019,48335.2
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 21",Здание,17,10,2019,40840.02
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 21",Здание,19,11,2019,42845.57
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 21",Здание,17,12,2019,59576.68
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42 ",Здание,17,1,2019,39.91
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42 ",Здание,19,2,2019,8211.34
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42 ",Здание,19,3,2019,10485.04
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42 ",Здание,17,4,2019,9051.98
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42 ",Здание,20,5,2019,9325.72
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42 ",Здание,18,6,2019,9138.08
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42 ",Здание,17,7,2019,7986.38
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42 ",Здание,20,8,2019,10119.86
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42 ",Здание,17,10,2019,9310.74
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42 ",Здание,19,11,2019,9817.61
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Муравьева-Амурского, 42 ",Здание,17,12,2019,14742.35
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,11,1,2019,6157.75
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,7,2,2019,4926.67
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,13,3,2019,5831.62
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,9,4,2019,6049.14
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,13,5,2019,5697.49
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,10,6,2019,4685.44
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,9,7,2019,7923.48
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,7,8,2019,8126.25
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,11,9,2019,6299.88
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,26,9,2019,-22.16
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,16,10,2019,6783.37
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,8,11,2019,5296.59
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,10,12,2019,5138.57
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,13,12,2019,-533.56
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",жилой подъезд,11,1,2019,2676.61
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",жилой подъезд,7,2,2019,2899.87
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",жилой подъезд,13,3,2019,2230.67
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",жилой подъезд,9,4,2019,2370.08
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",жилой подъезд,13,5,2019,2481.62
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",жилой подъезд,10,6,2019,2230.67
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",жилой подъезд,9,7,2019,2553.47
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",жилой подъезд,7,8,2019,2033.53
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",жилой подъезд,11,9,2019,3013.24
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,11,1,2019,5476.42
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,7,2,2019,5805.28
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,13,3,2019,6586.41
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,9,4,2019,6185.43
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,13,5,2019,7203.42
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,10,6,2019,3475.23
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,9,7,2019,4823.94
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,7,8,2019,6226.07
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,11,9,2019,3389.78
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,16,10,2019,5842.48
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,8,11,2019,5930.26
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 21",функц. помещение,10,12,2019,5177.81
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,11,1,2019,8275.01
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,7,2,2019,7933.08
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,13,3,2019,8151.48
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,9,4,2019,8267.12
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,13,5,2019,9147.14
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,10,6,2019,7303.58
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,9,7,2019,8749.58
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,7,8,2019,8241.26
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,11,9,2019,9210.27
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,26,9,2019,-11.08
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,16,10,2019,9577.94
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,17,10,2019,-147.47
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,8,11,2019,8467.14
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. М-Амурского, 42",Здание,10,12,2019,9006.3
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,10,1,2019,614.48
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,1,2,2019,571.09
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,5,3,2019,621.73
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,3,4,2019,492.1
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,8,5,2019,647.05
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,6,6,2019,548.94
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,4,7,2019,558.43
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,2,8,2019,614.74
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,4,9,2019,637.94
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,4,10,2019,677.72
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,11,10,2019,-18.56
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,11,10,2019,-1.33
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,7,11,2019,681.04
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,РКЦ Комсомольск-на-Амуре,Здание,6,12,2019,775.31
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"РКЦ Советская Гавань,  ул. Советская, 26 ",Здание,5,2,2019,601.13
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"РКЦ Советская Гавань,  ул. Советская, 26 ",Здание,5,3,2019,405.11
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"РКЦ Советская Гавань,  ул. Советская, 26 ",Здание,3,4,2019,378.97
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"РКЦ Советская Гавань,  ул. Советская, 26 ",Здание,8,5,2019,457.38
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"РКЦ Советская Гавань,  ул. Советская, 26 ",Здание,4,6,2019,405.11
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"РКЦ Советская Гавань,  ул. Советская, 26 ",Здание,2,7,2019,640.33
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"РКЦ Советская Гавань,  ул. Советская, 26 ",Здание,14,8,2019,482.54
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"РКЦ Советская Гавань,  ул. Советская, 26 ",Здание,4,9,2019,134.04
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"РКЦ Советская Гавань,  ул. Советская, 26 ",Здание,4,10,2019,348.5
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"РКЦ Советская Гавань,  ул. Советская, 26 ",Здание,6,11,2019,321.7
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"РКЦ Советская Гавань,  ул. Советская, 26 ",Здание,3,12,2019,294.89
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,10,1,2019,418.06
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,11,2,2019,425.15
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,7,3,2019,384.0
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,9,4,2019,425.15
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,8,5,2019,411.43
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,13,6,2019,425.15
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,9,7,2019,411.43
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,7,8,2019,435.41
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,11,9,2019,435.41
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,9,10,2019,421.36
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,8,11,2019,705.88
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,Комсомольск -на- Амуре,Здание,10,12,2019,421.36
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,10,6,2019,592.84
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,9,7,2019,408.8
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,7,8,2019,452.89
Отделение по Хабаровскому краю Дальневосточного главного управления Центрального банка Российской Федерации,134.1100.000000,Расходы на коммунальные услуги,"ул. Воронежская, 154",Здание,11,9,2019,912.59
